T,P,W,H,HU
87,98,1,50,85
37,9,3,34,27
84,71,73,35,18
80,24,14,70,53
10,80,58,98,64
66,35,59,29,59
31,43,63,69,43
96,75,7,22,59
25,47,24,1,26
10,45,99,77,84
75,85,59,39,22
29,61,59,100,8
57,56,17,7,85
67,3,16,99,60
29,99,1,60,38
79,37,84,98,24
93,62,42,14,30
66,23,3,52,14
73,2,11,38,95
59,83,90,38,89
98,98,18,95,99
21,37,30,27,40
50,39,82,72,87
94,6,28,53,1
46,56,11,36,21
49,30,61,92,60
42,75,70,17,79
49,96,63,15,88
62,16,69,8,46
10,38,58,79,48
6,90,7,85,60
4,82,32,71,68
5,23,35,91,56
37,33,71,12,77
82,45,99,73,71
80,74,86,75,10
34,20,42,93,83
91,66,6,67,94
44,51,48,86,93
27,55,76,93,84
39,2,52,97,19
61,45,74,21,88
74,6,75,7,86
34,42,45,38,19
34,7,44,19,74
4,38,90,31,75
60,71,4,88,48
82,96,3,92,8
29,87,37,50,8
32,72,76,18,53
47,35,95,18,11
84,13,70,90,76
48,31,8,53,21
15,1,78,27,39
87,100,83,84,92
33,1,47,27,62
47,45,2,12,57
9,18,80,54,11
1,97,47,1,98
92,33,43,30,33
62,42,94,36,92
9,31,11,73,42
68,84,44,62,94
80,17,66,96,80
56,47,91,48,51
81,83,72,83,48
8,85,51,76,2
12,9,66,81,80
87,76,18,35,96
61,80,34,30,65
19,88,37,39,56
64,73,66,36,20
64,55,45,88,15
46,19,1,99,76
27,85,42,14,33
44,94,74,97,6
53,92,80,71,2
27,25,64,26,48
92,65,13,37,21
74,91,42,51,72
71,49,52,29,23
68,49,20,17,41
38,13,47,100,52
96,82,34,16,42
30,44,91,33,96
47,88,63,83,49
83,50,71,98,42
55,59,44,16,72
65,95,45,69,98
25,70,66,56,78
91,21,27,20,73
25,90,63,92,98
19,91,91,93,94
29,46,81,37,64
4,59,98,91,16
100,81,82,44,79
17,51,43,39,42
55,75,99,96,34
57,87,16,25,57
88,46,22,8,58
71,26,2,67,12
66,7,68,30,54
85,14,99,88,60
73,65,57,97,98
89,63,35,35,49
70,85,66,9,58
17,15,29,20,34
81,91,14,14,18
34,60,64,72,20
40,53,62,33,7
57,36,52,16,85
47,94,16,57,73
15,20,52,76,66
99,55,78,43,57
58,92,43,39,28
69,37,48,48,84
33,88,54,35,68
83,77,7,85,79
35,96,20,3,50
17,18,76,14,22
39,16,36,8,58
72,77,98,59,83
24,82,55,36,50
87,53,98,49,53
45,96,87,11,71
89,43,16,32,43
20,60,68,67,51
1,78,92,41,97
98,1,35,65,95
98,80,92,77,22
61,39,69,84,12
83,18,89,98,20
57,93,8,81,1
63,100,68,17,31
72,8,32,38,69
61,53,8,94,92
47,24,73,80,13
14,89,94,82,52
64,66,94,79,60
36,30,88,50,8
77,57,71,53,59
41,50,51,63,84
91,53,85,4,70
64,95,59,76,41
9,94,1,81,16
14,29,81,77,73
38,48,68,17,76
91,70,26,41,8
29,66,38,83,11
79,17,13,31,23
25,49,93,42,81
27,50,12,60,7
48,95,37,56,17
20,17,89,29,27
73,54,28,51,18
13,26,91,62,3
23,86,46,80,94
55,40,26,24,54
67,13,73,48,86
4,75,86,30,93
4,23,38,100,72
96,74,80,86,12
11,82,88,2,36
28,97,35,43,22
37,54,40,82,84
59,46,44,55,26
62,11,33,5,25
63,11,76,61,80
11,38,10,60,91
90,11,9,54,61
9,100,98,20,35
65,9,60,25,78
18,66,89,92,63
79,44,87,32,69
75,35,68,55,34
53,34,47,13,60
65,29,100,12,33
56,98,59,45,59
81,81,35,86,35
54,79,42,37,53
6,21,53,88,57
66,24,77,65,78
16,25,93,6,56
4,32,3,21,93
6,62,39,59,97
57,96,60,19,38
94,45,3,81,44
34,44,86,94,30
5,90,57,76,31
32,85,45,83,89
88,54,26,21,97
58,13,81,55,31
49,4,79,2,63
86,89,16,76,37
29,8,97,91,77
43,11,33,99,24
4,74,42,47,100
99,81,74,88,39
30,29,57,75,40
6,3,15,9,11
77,59,65,32,95
67,60,29,60,87
58,100,24,74,68
91,3,10,49,84
50,42,8,61,54
53,32,15,41,72
14,3,27,12,13
99,90,70,60,88
76,5,37,43,40
92,21,10,58,58
78,65,28,33,76
35,19,62,19,80
82,43,21,6,21
39,64,52,2,71
45,82,35,43,55
91,95,54,52,57
76,56,10,32,67
29,67,48,72,9
15,62,42,41,25
22,91,69,70,26
7,62,6,74,83
82,66,28,25,18
73,75,46,32,28
38,93,12,25,64
90,29,97,8,60
52,58,39,86,81
100,42,67,31,38
39,68,58,82,38
23,15,5,42,64
27,20,61,27,88
57,88,77,15,89
73,6,72,22,63
11,85,99,49,7
57,20,54,3,98
54,85,91,66,68
28,61,86,82,10
2,35,54,35,44
47,99,95,88,56
56,79,42,18,28
62,4,72,25,1
80,33,47,23,61
76,55,89,46,96
96,16,24,5,53
44,76,5,44,16
56,73,81,68,51
55,1,93,58,92
64,22,71,74,74
81,38,70,72,75
57,19,38,84,21
43,20,39,18,59
33,45,40,87,6
54,42,14,72,26
